DATE;BRL/USD;RUB/USD;INR/USD;YUAN/USD
01/07/1997;1.0857;5.81631;35.9407;8.3395
01/08/1997;1.088;5.82318;35.7092;8.2996
01/09/1997;1.0927;5.85338;36.4445;8.2858
01/10/1997;1.0941;5.85263;36.0734;8.2524
01/11/1997;1.109;5.91892;37.019;8.294
01/12/1997;1.1174;5.95702;39.2366;8.314
01/01/1998;1.1218;6.01;39.5402;8.294
01/02/1998;1.1264;5.9983;38.7942;8.278
01/03/1998;1.1322;6.01;39.4955;8.2771
01/04/1998;1.1359;6.0449;39.4695;8.2514
01/05/1998;1.1441;6.1356;40.1854;8.2621
01/06/1998;1.1532;6.2005;42.0108;8.2816
01/07/1998;1.1591;6.2315;42.4714;8.2681
01/08/1998;1.1724;7.0415;42.8017;8.2988
01/09/1998;1.1745;14.4486;42.3602;8.2476
01/10/1998;1.1891;16.6531;42.4611;8.3018
01/11/1998;1.1969;17.2554;42.5174;8.3073
01/12/1998;1.2031;20.8196;42.5041;8.271
01/01/1999;1.5297;21.6985;42.4466;8.2798
01/02/1999;1.9113;23.0655;42.5661;8.2798
01/03/1999;1.899;23.947;42.8429;8.2794
01/04/1999;1.7024;25.3554;43.1355;8.2794
01/05/1999;1.6825;24.6089;43.415;8.2787
01/06/1999;1.7645;24.4049;43.6944;8.2784
01/07/1999;1.7998;24.3261;43.9805;8.2781
01/08/1999;1.8766;24.7266;44.1355;8.2778
01/09/1999;1.9005;25.4771;43.4795;8.2821
01/10/1999;1.9676;25.7545;43.3754;8.2782
01/11/1999;1.9298;26.3168;43.3308;8.2789
01/12/1999;1.8441;26.9042;43.4101;8.2797
01/01/2000;1.803;28.2165;43.4901;8.2793
01/02/2000;1.7774;28.7413;43.5613;8.279
01/03/2000;1.7411;28.4439;43.6625;8.2787
01/04/2000;1.7637;28.5641;43.9247;8.2795
01/05/2000;1.8244;28.2874;44.1787;8.278
01/06/2000;1.8061;28.2115;44.4581;8.278
01/07/2000;1.7974;27.8249;44.7311;8.2794
01/08/2000;1.8067;27.719;45.0105;8.2796
01/09/2000;1.8356;27.7938;45.2899;8.2786
01/10/2000;1.8753;27.8674;45.563;8.2789
01/11/2000;1.9446;27.8311;45.8424;8.2774
01/12/2000;1.9633;28.0436;46.0974;8.2776
01/01/2001;1.9542;28.4018;46.3504;8.2783
01/02/2001;2.0035;28.633;46.6171;8.277
01/03/2001;2.0878;28.702;46.8838;8.2778
01/04/2001;2.1931;28.8768;47.1414;8.2779
01/05/2001;2.293;29.0412;47.3918;8.2782
01/06/2001;2.3771;29.14;47.6648;8.2778
01/07/2001;2.4653;29.2408;47.9379;8.2773
01/08/2001;2.5034;29.3591;48.2236;8.2775
01/09/2001;2.6645;29.4455;48.4975;8.2775
01/10/2001;2.7414;29.5616;48.7727;8.2778
01/11/2001;2.5534;29.8318;49.0479;8.2782
01/12/2001;2.3663;30.1736;49.3039;8.2772
01/01/2002;2.3772;30.5798;49.5599;8.2773
01/02/2002;2.4234;30.8571;49.8287;8.2782
01/03/2002;2.3471;31.0999;50.0842;8.279
01/04/2002;2.3162;31.2002;50.3447;8.28
01/05/2002;2.4771;31.2721;50.6178;8.2799
01/06/2002;2.7046;31.4377;50.8845;8.28
01/07/2002;2.9191;31.5397;50.0867;8.28
01/08/2002;3.1117;31.5823;48.9804;8.28
01/09/2002;3.3169;31.6527;49.2534;8.28
01/10/2002;3.7992;31.7134;49.5328;8.2798
01/11/2002;3.5798;31.8334;49.8122;8.2789
01/12/2002;3.6297;31.8553;49.1583;8.2786
01/01/2003;3.4355;31.8362;48.3077;8.28
01/02/2003;3.5848;31.6602;48.5744;8.28
01/03/2003;3.4579;31.4357;48.8347;8.28
01/04/2003;3.1256;31.196;49.0951;8.28
01/05/2003;2.9534;30.9039;47.4791;8.28
